"source","target","weight"
6,18,2
17,18,3
18,25,3
6,25,2
25,26,2
18,28,1
25,28,1
6,29,1
25,29,17
25,40,12
18,40,7
26,40,1
29,40,12
6,40,9
28,40,1
17,40,2
29,41,3
40,42,1
25,49,1
25,54,1
18,54,1
29,54,2
54,55,1
25,55,2
29,58,1
40,58,1
41,60,2
42,60,1
29,60,2
40,60,5
6,60,2
40,70,1
6,70,3
18,70,2
18,71,1
40,71,2
60,71,3
29,71,1
17,71,3
25,73,1
18,74,1
54,74,2
29,74,3
40,75,1
29,75,1
25,75,1
60,76,1
40,77,4
25,78,1
74,78,1
40,78,2
72,78,4
29,78,2
18,79,2
76,79,2
29,79,3
75,79,1
74,79,2
72,79,4
6,79,4
28,79,1
49,79,2
78,79,5
73,79,4
25,79,5
78,80,3
29,80,3
74,81,1
40,81,1
29,81,2
60,81,1
25,81,1
18,81,1
78,81,1
79,81,1
75,81,1
60,82,1
72,82,2
40,82,5
79,82,2
25,82,2
78,82,1
29,82,6
80,82,1
18,82,4
73,82,1
76,82,1
74,82,4
40,87,2
25,87,4
79,87,2
72,87,1
29,87,8
55,87,1
18,87,2
41,87,1
78,87,2
58,87,1
87,88,1
40,88,1
87,89,7
79,89,2
29,89,1
88,89,6
18,89,2
40,89,2
78,89,1
88,90,5
89,90,11
87,90,17
18,90,1
41,90,2
82,90,4
40,90,1
60,90,3
29,90,3
87,91,1
82,91,1
54,91,1
72,91,2
78,91,1
40,91,2
18,91,1
90,92,4
91,92,2
54,92,2
18,92,2
40,94,1
29,99,1
40,105,2
6,116,5
25,116,5
54,117,3
79,117,1
29,117,3
29,118,1
71,118,1
40,118,1
17,118,3
6,118,1
18,118,1
40,119,1
18,119,1
119,120,9
29,121,3
54,121,5
25,121,25
40,121,5
54,122,3
121,122,26
81,124,2
29,124,3
25,135,15
79,135,1
54,135,6
40,135,2
119,135,3
91,136,3
54,137,1
135,137,6
119,137,6
118,137,1
25,137,1
18,137,2
79,137,2
6,137,1
29,137,1
40,137,1
17,137,3
81,137,1
60,137,1
71,137,1
120,137,6
94,138,3
6,138,2
18,138,3
119,138,2
137,138,5
40,138,2
120,138,2
29,140,3
28,140,1
6,140,1
79,141,3
28,141,3
25,148,2
74,148,2
29,148,5
141,148,2
6,149,1
140,149,1
18,151,3
6,157,10
151,158,4
6,158,2
105,158,1
40,158,4
29,159,6
79,159,1
40,159,2
87,159,1
60,159,1
72,168,2
79,168,1
41,168,1
137,171,2
6,171,2
71,171,1
40,171,1
25,171,3
29,171,1
60,171,1
18,171,2
79,171,3
92,171,2
90,172,1
41,172,1
171,172,1
25,172,4
60,172,3
28,175,1
70,175,1
25,175,2
135,175,2
90,175,3
18,175,1
40,175,9
18,179,1
87,179,4
29,179,1
175,179,2
121,179,8
90,179,3
79,179,2
25,179,19
90,180,1
18,180,1
79,192,1
74,192,1
120,192,4
25,192,2
175,192,2
18,192,1
6,192,2
119,192,2
145,192,2
40,192,3
29,196,3
82,196,2
25,196,1
40,196,4
79,196,1
71,196,3
60,196,7
6,197,1
196,197,1
29,197,1
40,197,3
17,197,1
196,198,1
40,198,3
77,198,1
17,198,1
197,198,4
25,200,3
26,200,1
72,201,1
121,201,12
171,201,2
175,201,2
179,201,25
40,201,23
158,201,4
192,201,5
99,201,5
18,201,1
120,201,4
91,201,1
29,201,15
94,201,1
200,201,2
90,201,2
79,201,35
25,201,31
119,201,2
195,201,4
159,201,2
17,201,2
198,201,2
41,201,2
89,201,4
55,201,2
78,201,7
71,201,4
197,201,2
6,201,8
201,202,9
116,202,1
159,204,3
201,204,11
137,204,3
78,204,3
72,204,3
60,204,5
25,204,6
79,204,4
140,204,2
118,204,1
71,204,1
73,204,1
117,204,1
18,204,1
197,204,2
17,204,3
74,204,2
148,204,2
202,204,1
149,204,1
54,204,2
29,204,5
6,204,1
40,204,2
28,206,1
201,206,1
135,206,1
29,208,2
40,208,1
25,208,2
201,208,5
94,208,7
18,208,1
208,209,1
201,209,1
29,209,1
40,210,5
25,210,6
26,210,12
116,210,10
208,211,1
25,211,2
118,211,1
89,211,4
197,211,4
6,211,1
158,211,4
201,211,1
58,211,2
198,211,2
40,211,7
204,211,1
206,211,2
204,216,2
208,216,2
28,216,1
40,216,1
72,216,1
79,216,1
201,216,3
18,216,2
141,216,3
25,216,1
29,217,1
121,217,3
25,217,2
25,219,5
111,219,3
18,221,11
148,221,1
62,221,5
195,221,2
175,221,9
72,221,11
201,221,87
70,221,1
158,221,1
99,221,5
73,221,6
87,221,13
208,221,2
216,221,3
88,221,4
79,221,19
78,221,2
91,221,4
171,221,5
117,221,2
90,221,23
211,221,16
76,221,1
180,221,2
82,221,19
196,221,7
25,221,124
122,221,1
200,221,9
41,221,4
149,221,1
92,221,2
159,221,1
198,221,1
121,221,34
89,221,7
54,221,4
75,221,3
209,221,2
60,221,8
135,221,2
116,221,1
215,221,1
204,221,27
40,221,39
29,221,61
219,221,4
145,221,3
74,221,1
81,221,1
217,221,1
140,221,3
42,221,2
28,221,3
6,221,4
179,221,24
71,221,3
58,221,8
192,221,6
197,221,7
206,221,6
105,221,1
201,222,2
18,222,2
221,222,2
25,223,1
140,229,5
221,229,5
221,230,4
29,230,3
82,230,15
196,230,1
40,230,1
179,236,1
138,236,2
201,236,1
40,236,1
6,236,1
25,236,2
18,236,2
118,236,1
192,236,1
137,236,1
40,237,1
82,237,2
49,237,2
54,237,2
221,237,3
74,237,4
94,239,1
119,239,2
135,239,6
25,239,1
137,239,1
192,239,2
54,239,1
40,239,1
40,240,17
72,240,1
118,240,10
215,240,1
198,240,1
206,240,1
70,240,3
137,240,4
171,240,3
201,240,39
221,240,156
192,240,2
25,240,31
58,240,15
210,240,6
76,240,1
79,240,18
208,240,1
18,240,4
140,240,2
223,240,5
26,240,2
196,240,3
172,240,2
82,240,12
89,240,4
29,240,43
81,240,2
78,240,3
54,240,2
200,240,3
151,240,4
211,240,4
6,240,15
90,240,10
41,240,2
179,240,18
99,240,1
124,240,3
197,240,6
222,240,4
71,240,2
73,240,1
180,240,2
216,240,3
87,240,17
94,240,1
139,240,4
74,240,1
145,240,1
55,240,2
204,240,15
209,240,6
75,240,2
60,240,11
117,240,3
28,240,2
202,240,3
158,240,4
25,241,1
179,241,3
204,241,1
201,241,1
159,241,2
221,241,10
197,241,1
40,241,1
240,241,6
135,241,5
29,241,2
25,242,2
18,242,1
78,242,1
171,242,1
240,242,38
82,242,1
211,242,4
201,242,3
41,242,1
6,242,3
241,242,1
29,242,13
204,242,2
221,242,17
79,242,1
40,242,2
206,242,2
74,242,1
89,242,2
60,242,1
172,244,1
201,244,2
79,244,4
41,244,1
60,244,2
90,244,1
221,244,8
240,244,4
192,244,2
116,244,1
204,244,2
90,246,2
72,246,2
82,246,1
26,246,2
240,246,58
210,246,6
200,246,2
204,246,2
118,246,1
137,246,2
54,246,1
171,246,1
29,246,2
78,246,1
25,246,4
168,246,1
81,246,4
40,246,2
242,246,8
201,246,11
79,246,3
18,246,1
99,246,1
209,246,2
221,246,22
29,247,2
240,247,23
221,247,8
60,248,1
221,248,7
6,248,1
18,248,1
79,248,1
81,248,1
41,248,1
29,248,6
171,248,1
137,248,1
87,248,1
236,250,1
82,250,2
237,250,1
221,250,2
75,250,1
192,250,1
246,250,1
18,250,1
60,250,1
240,250,1
49,251,2
77,251,4
40,251,1
240,251,6
221,251,1
151,251,6
158,251,6
204,251,1
116,252,10
25,252,2
6,252,2
73,254,9
221,254,9
124,255,1
241,255,1
179,255,1
242,255,1
29,255,3
201,255,1
208,255,1
240,255,5
159,255,2
6,256,3
29,256,16
89,256,4
240,256,16
239,257,1
221,257,9
25,257,3
219,257,3
79,258,1
256,258,1
175,258,1
171,258,2
92,258,1
25,258,15
211,258,4
17,258,1
197,258,10
201,258,5
87,258,1
239,258,1
192,258,3
18,258,6
91,258,1
240,258,18
29,258,2
250,258,2
60,258,5
222,258,3
198,258,1
82,258,1
94,258,1
40,258,8
242,258,6
75,258,1
90,258,2
172,258,2
78,258,4
247,258,1
72,258,2
80,258,1
6,258,18
221,258,9
210,259,5
78,259,9
79,259,17
116,259,2
89,261,2
192,261,1
18,261,2
221,261,2
151,261,2
25,261,2
251,261,3
240,261,4
158,261,2
239,261,1
87,261,4
201,261,1
71,261,1
40,261,3
237,262,2
175,262,1
40,262,2
195,263,1
29,263,1
242,263,1
221,263,2
87,263,4
261,263,2
89,263,5
240,263,2
221,264,2
76,265,1
94,265,1
79,265,2
90,265,1
82,265,1
201,265,1
25,265,1
221,265,5
25,266,1
242,266,1
221,266,7
240,266,6
246,266,1
6,266,5
60,266,2
58,266,1
29,266,1
40,269,2
25,269,1
221,269,1
171,269,2
91,269,1
201,269,2
124,269,1
242,269,2
29,269,3
60,269,1
196,269,2
136,269,3
258,269,1
250,269,1
171,270,2
18,270,5
269,270,5
172,270,2
221,270,1
29,270,2
221,271,5
25,271,2
82,272,1
148,272,1
240,272,2
242,272,1
40,272,1
244,272,3
28,272,3
221,272,2
29,272,2
246,272,2
221,273,5
40,273,5
121,273,1
272,273,1
55,274,6
266,274,1
221,274,3
179,274,5
159,274,16
25,274,4
240,274,2
99,274,2
29,274,1
90,275,5
159,275,3
240,275,1
248,275,1
201,275,4
88,275,4
121,275,2
271,275,20
221,275,11
89,275,1
240,277,7
204,277,7
221,278,3
25,278,10
217,278,5
121,278,6
29,278,2
221,280,11
179,280,2
240,280,3
25,280,1
250,280,1
54,280,1
29,280,3
201,280,3
204,280,2
200,280,2
75,280,1
275,280,1
258,280,1
62,280,2
79,280,1
222,281,4
269,281,3
201,281,2
240,281,4
246,284,9
25,284,12
221,284,11
82,284,1
250,284,9
240,284,13
28,284,1
79,284,1
204,284,1
91,284,1
89,284,2
90,284,1
197,284,3
29,284,1
29,285,2
201,285,1
40,285,11
206,285,1
246,285,1
6,285,2
158,285,4
221,285,5
175,285,4
209,285,2
208,285,1
211,285,1
194,285,3
240,285,4
209,286,1
25,286,1
246,286,1
240,286,1
29,286,1
197,286,1
221,286,1
240,287,4
259,288,2
240,288,2
116,288,4
210,288,10
240,292,5
60,292,10
71,292,1
292,293,1
221,293,4
90,295,2
221,295,1
145,295,2
240,295,1
192,295,2
200,295,1
29,298,1
41,298,1
89,298,1
242,298,1
275,298,1
208,298,4
25,298,7
121,298,1
196,298,3
55,298,1
201,298,5
221,298,10
179,298,3
240,298,3
40,298,2
25,299,3
221,299,3
219,299,1
201,302,2
74,302,2
221,302,2
54,302,1
25,302,8
237,302,2
78,302,2
40,302,4
29,302,4
25,303,1
151,303,1
18,303,3
71,303,1
201,303,1
137,303,1
261,303,1
41,304,1
221,304,2
60,305,4
201,305,2
18,305,3
79,305,1
210,305,9
258,305,2
221,305,5
25,305,1
40,305,6
195,307,1
90,307,9
263,307,1
89,307,3
240,307,1
221,308,18
298,308,3
171,308,4
72,308,2
29,308,2
78,308,2
87,308,4
90,308,2
89,308,2
240,308,9
206,308,2
258,308,1
92,308,1
248,308,3
201,308,11
241,308,2
179,308,2
242,308,1
24,308,6
25,308,14
204,308,1
91,308,4
302,308,1
246,308,1
221,309,7
219,309,7
121,309,2
257,309,11
62,313,3
138,315,2
94,315,6
274,315,4
117,316,1
90,316,4
91,316,2
196,316,6
263,316,3
308,316,2
171,316,12
172,316,7
25,316,20
6,316,4
78,316,1
244,316,3
79,316,1
60,316,18
201,316,4
237,316,10
242,316,5
305,316,1
258,316,9
211,316,2
269,316,7
41,316,3
40,316,16
136,316,3
82,316,5
248,316,1
42,316,5
18,316,14
71,316,4
137,316,1
246,316,11
73,316,1
302,316,11
240,316,25
118,316,1
270,316,6
70,316,1
221,316,30
29,316,6
204,317,1
215,317,1
269,318,1
60,318,1
250,318,1
172,318,1
270,318,2
171,318,1
258,318,1
316,318,1
316,319,4
269,319,2
87,319,1
242,319,2
40,319,1
246,319,1
240,319,2
25,319,2
247,319,1
90,319,4
201,319,3
42,319,1
221,319,9
270,319,1
76,319,1
82,322,4
240,322,7
250,322,1
247,322,6
316,322,1
90,322,1
221,322,3
40,322,1
29,322,1
90,324,2
172,324,1
319,324,1
60,324,1
316,324,5
221,324,2
242,324,2
40,325,1
270,325,2
25,325,3
250,325,1
316,325,5
172,325,1
60,325,1
221,325,1
269,325,1
171,325,3
318,325,2
258,325,2
137,325,1
82,326,6
201,326,1
91,326,1
60,326,4
136,326,3
18,326,5
240,326,22
322,326,4
179,326,1
318,326,1
41,326,3
40,326,6
284,326,1
79,326,1
90,326,5
316,326,54
25,326,8
28,326,1
277,326,7
88,326,2
135,326,1
237,326,8
258,326,7
87,326,1
319,326,6
211,326,1
137,326,3
246,326,3
73,326,1
118,326,1
204,326,3
308,326,4
248,326,1
325,326,5
89,326,1
206,326,4
17,326,3
247,326,2
29,326,9
99,326,1
274,326,2
71,326,1
72,326,4
244,326,4
221,326,50
269,326,1
263,326,4
171,326,7
270,326,2
116,326,1
172,326,4
250,326,1
242,326,4
242,327,4
269,327,4
40,327,2
247,327,2
258,327,2
171,327,1
326,327,4
76,327,1
18,327,1
240,327,2
322,327,3
82,327,1
248,328,2
250,328,2
258,328,3
221,328,5
280,328,1
40,328,2
327,328,4
240,328,4
242,328,4
75,328,1
326,328,23
308,328,1
76,328,2
25,328,2
316,328,26
319,328,6
322,328,1
269,329,5
240,329,11
270,329,2
79,329,6
42,329,1
40,329,3
308,329,5
201,329,2
248,329,3
149,329,2
242,329,6
72,329,18
82,329,1
78,329,1
305,329,1
258,329,9
328,329,13
326,329,15
136,329,3
221,329,16
91,329,2
319,329,1
246,329,12
171,329,4
316,329,41
325,329,2
25,329,11
18,329,4
327,329,5
60,329,3
137,330,4
316,330,36
171,330,10
25,330,4
258,330,5
328,330,9
250,330,1
58,330,1
40,330,3
54,330,1
55,330,1
204,330,1
302,330,6
308,330,5
196,330,3
60,330,2
78,330,1
266,330,3
298,330,1
318,330,2
240,330,36
72,330,2
42,330,1
242,330,11
329,330,16
90,330,1
201,330,2
87,330,1
326,330,15
175,330,1
319,330,5
241,330,2
172,330,1
29,330,4
269,330,4
82,330,2
221,330,23
18,330,1
246,330,9
270,330,3
325,330,6
281,330,3
200,330,1
159,334,2
201,334,6
116,334,3
29,334,4
269,334,3
274,334,1
240,334,2
25,340,6
326,340,3
204,340,13
70,340,11
28,340,1
40,340,11
211,340,1
60,340,5
201,340,4
73,340,2
236,340,1
140,340,6
241,340,2
180,340,2
29,340,9
229,340,30
117,340,3
159,340,1
272,340,3
179,340,8
316,340,2
206,340,1
79,340,3
82,340,2
240,340,9
277,340,14
221,340,65
41,340,1
18,340,4
175,340,16
246,340,3
328,340,2
262,340,4
18,361,1
303,361,1
327,361,1
91,361,1
221,361,3
264,361,2
82,361,1
204,361,1
78,361,2
329,361,2
258,361,2
240,361,1
72,361,2
137,361,1
171,361,1
326,361,1
326,365,13
40,365,12
254,365,1
340,365,4
91,365,2
238,365,16
206,365,7
204,365,14
28,365,5
322,365,1
201,365,4
242,365,5
215,365,6
241,365,4
60,365,15
329,365,1
71,365,2
198,365,1
148,365,1
317,365,1
18,365,4
17,365,1
258,365,10
221,365,30
116,365,4
159,365,14
89,365,9
246,365,3
262,365,2
171,365,2
275,365,1
292,365,2
319,365,30
316,365,13
250,365,1
29,365,5
197,365,1
208,365,1
280,365,6
240,365,11
330,365,16
328,365,5
263,365,2
79,365,5
25,365,1
219,365,1
90,365,3
78,365,2
272,365,3
76,365,6
280,366,1
215,366,1
365,366,6
326,366,1
221,366,3
240,366,1
240,369,1
215,369,1
365,369,6
366,369,1
28,369,2
137,370,1
303,370,3
151,370,1
49,370,2
361,370,1
264,370,2
18,370,3
25,370,1
242,390,1
240,390,1
159,390,1
326,390,1
29,390,2
25,390,3
365,390,1
201,390,2
73,390,1
79,390,1
244,393,1
242,393,4
201,393,15
330,393,1
298,393,2
280,393,1
240,393,17
