"Id","Label"
6,"abundance"
17,"accretion rate"
18,"accumulation"
24,"active outdoor play"
25,"activity"
26,"activity level"
28,"adaptability"
29,"adaptation"
40,"addition"
41,"additional benefit"
42,"additionality"
49,"adsorption"
54,"adverse effect"
55,"adverse impact"
58,"aesthetic"
60,"afforestation"
62,"african city"
70,"agricultural catchment"
71,"agricultural land"
72,"agricultural landscape"
73,"agricultural production"
74,"agricultural productivity"
75,"agricultural sector"
76,"agricultural soil"
77,"agricultural stream"
78,"agricultural system"
79,"agriculture"
80,"agroecology"
81,"agroecosystem"
82,"agroforestry"
87,"air"
88,"air pollutant"
89,"air pollution"
90,"air quality"
91,"air temperature"
92,"albedo"
94,"algae"
99,"allotment garden"
105,"ambient temperature"
111,"analgesic effect"
116,"anthropocene"
117,"anthropogenic climate change"
118,"anthropogenic pressure"
119,"antibiotic"
120,"antimicrobial resistance"
121,"anxiety"
122,"anxiety level"
124,"aotearoa new zealand"
135,"aquaculture"
136,"aquaculture pond"
137,"aquatic ecosystem"
138,"aquatic environment"
139,"aquatic nature"
140,"aquifer"
141,"aquifer recharge"
145,"argentina"
148,"arid"
149,"arid region"
151,"arsenic"
157,"artificial rockpool"
158,"artificial structure"
159,"asia"
168,"associated ecosystem service"
171,"atmosphere"
172,"atmospheric co2"
175,"attenuation"
179,"australia"
180,"austria"
192,"bacterium"
194,"bamboo"
195,"bangkok"
196,"bangladesh"
197,"bank"
198,"bank erosion"
200,"barcelona"
201,"barrier"
202,"barriers"
204,"basin"
206,"bay"
208,"beach"
209,"beach nourishment"
210,"beaver"
211,"bed"
215,"beijing"
216,"belgium"
217,"belgrade"
219,"beneficial effect"
221,"benefit"
222,"benthic community"
223,"berlin"
229,"bhojtal"
230,"bhutan"
235,"bio swale"
236,"bioavailability"
237,"biochar"
238,"biocrust"
239,"biodegradation"
240,"biodiversity"
241,"biodiversity benefit"
242,"biodiversity conservation"
244,"biodiversity enhancement"
246,"biodiversity loss"
247,"biodiversity outcome"
248,"biodiversity protection"
250,"bioenergy"
251,"biofilm"
252,"biogeomorphology"
254,"biological control"
255,"biological diversity"
256,"biological invasion"
257,"biomarker"
258,"biomass"
259,"biomimicry"
261,"bioremediation"
262,"bioretention"
263,"bioretention system"
264,"biosorption"
265,"bioswale"
266,"bird"
269,"blue carbon"
270,"blue carbon ecosystem"
271,"blue care"
272,"blue green infrastructure"
273,"blue green space"
274,"blue infrastructure"
275,"blue space"
277,"bofedale"
278,"botanical garden"
280,"bottom"
281,"bottom water"
284,"brazil"
285,"breakwater"
286,"bridge"
287,"bright spot"
288,"britain"
292,"brownfield"
293,"brownfield redevelopment"
295,"buenos aires"
298,"burden"
299,"burnout"
302,"c sequestration"
303,"cadmium"
304,"cagliari"
305,"california"
307,"campus"
308,"canada"
309,"cancer"
313,"cape town"
315,"carbamazepine"
316,"carbon"
317,"carbon balance"
318,"carbon dioxide removal"
319,"carbon emission"
322,"carbon mitigation"
324,"carbon offset"
325,"carbon removal"
326,"carbon sequestration"
327,"carbon sequestration potential"
328,"carbon sink"
329,"carbon stock"
330,"carbon storage"
334,"caribbean"
340,"catchment"
361,"chemical"
365,"china"
366,"chinese city"
369,"chongqing"
370,"chromium"
390,"clean water"
393,"climate adaptation"
396,"climate benefit"
401,"climate change impact"
402,"climate change mitigation"
403,"climate change mitigation potential"
404,"climate change resilience"
406,"climate change solution"
408,"climate condition"
409,"climate crisis"
410,"climate emergency"
411,"climate hazard"
412,"climate justice"
413,"climate mitigation"
415,"climate resilience"
416,"climate resilient city"
417,"climate resilient development"
419,"climate smart agriculture"
420,"climate solution"
421,"climate variability"
422,"climatic change"
423,"climatic condition"
429,"cm depth"
430,"cm year"
437,"co2"
438,"co2 emission"
439,"co2 sequestration"
440,"coast"
441,"coastal"
442,"coastal adaptation"
443,"coastal area"
444,"coastal city"
445,"coastal community"
446,"coastal defence"
447,"coastal development"
448,"coastal dune"
449,"coastal dune restoration"
450,"coastal ecosystem"
452,"coastal environment"
