label,
21st century,
abi,
ability,
abs,
absence,
abundance,y
academia,
academic,
academic literature,
acceptability,
acceptance,
access,
accessibility,
accordance,
account,
accounting,
accretion rate,y
accumulation,y
accuracy,
achievement,
act,
action,
actionable insight,
active outdoor play,y
activity,y
activity level,y
actor,
adaptability,y
adaptation,y
adaptation action,
adaptation measure,
adaptation option,
adaptation planning,
adaptation project,
adaptation strategy,
adaptive capacity,
adaptive governance,
adaptive management,
adaptive strategy,
addition,y
additional benefit,y
additionality,y
address,
adhd,
adherence,
adjustment,
adolescent,
adoption,
adsorption,y
adult,
advance,
advancement,
advantage,
adverse effect,y
adverse impact,y
advocacy,
advocate,
aesthetic,y
af model,
afforestation,y
africa,
african city,y
age,
agency,
agenda,
agent,
aggregate stability,
agitation,
agreement,
agricultural catchment,y
agricultural land,y
agricultural landscape,y
agricultural production,y
agricultural productivity,y
agricultural sector,y
agricultural soil,y
agricultural stream,y
agricultural system,y
agriculture,y
agroecology,y
agroecosystem,y
agroforestry,y
ags,
ahp,
aid,
aim,
air,y
air pollutant,y
air pollution,y
air quality,y
air temperature,y
albedo,y
alfs,
algae,y
algorithm,
alignment,
alliance,
allocation,
allotment garden,y
alps,
alteration,
alternative,
alternative approach,
alternative solution,
ambient temperature,y
ambiguity,
ambition,
amman,
amount,
amr,
analgesic effect,y
analysis,
analytical framework,
animal,
answer,
anthropocene,y
anthropogenic climate change,y
anthropogenic pressure,y
antibiotic,y
antimicrobial resistance,y
anxiety,y
anxiety level,y
aocs,
aotearoa new zealand,y
apa psycinfo,
applicability,
application,
applied,
appraisal,
appreciation,
approach,
approaches,
appropriation,
april,
aquaculture,y
aquaculture pond,y
aquatic ecosystem,y
aquatic environment,y
aquatic nature,y
aquifer,y
aquifer recharge,y
architect,
architecture,
area,
argentina,y
args,
argument,
arid,y
arid region,y
array,
arsenic,y
art,
art review,
arthritis,
article,
artificial intelligence,
artificial rockpool,y
artificial structure,y
asia,y
aspect,
aspiration,
assess,
assessment,
assessment framework,
assessment tool,
asset,
assisted living facility,
associated ecosystem service,y
association,
assumption,
atmosphere,y
atmospheric co2,y
attempt,
attention,
attenuation,y
attitude,
attribute,
august,
australia,y
austria,y
author,
authority,
authors,
autism,
availability,
available data,
avenue,
average,
awareness,
backdrop,
background,
bacterium,y
balance,
bamboo,y
bangkok,y
bangladesh,y
bank,y
bank erosion,y
bar,
barcelona,y
barrier,y
barriers,y
baseline,
basin,y
basis,
bay,y
bayesian belief network,
beach,y
beach nourishment,y
beaver,y
bed,y
behalf,
behavior,
behaviour,
beijing,y
belgium,y
belgrade,y
belief,y
beneficial effect,y
beneficiary,
benefit,
benthic community,y
berlin,y
best practice,
beta,
better management,
better understanding,
bgi,
bhojtal,y
bhutan,y
bias,
bibliographic database,
bibliometric analysis,
bibliometric review,
bio swale,y
bioavailability,y
biochar,y
biocrust,y
biodegradation,y
biodiversity,y
biodiversity benefit,y
biodiversity conservation,y
biodiversity crisis,
biodiversity enhancement,y
biodiversity goal,
biodiversity loss,y
biodiversity outcome,y
biodiversity protection,y
bioeconomy,
bioenergy,y
biofilm,y
biogeomorphology,y
bioindicator,
biological control,y
biological diversity,y
biological invasion,y
biomarker,y
biomass,y
biomimicry,y
biophilic design,
bioremediation,y
bioretention,y
bioretention system,y
biosorption,y
bioswale,y
bird,y
block,
blood pressure,
blue carbon,y
blue carbon ecosystem,y
blue care,y
blue green infrastructure,y
blue green space,y
blue infrastructure,y
blue space,y
body,
bofedale,y
botanical garden,y
bottleneck,
bottom,y
bottom water,y
boundary,
brain injury,
brazil,y
breakwater,y
bridge,y
bright spot,y
britain,y
broad range,
broader implementation,
broader range,
brownfield,y
brownfield redevelopment,y
budget,
buenos aires,y
building,
bundle,
burden,y
burnout,y
business,
business model,
c sequestration,y
cadmium,y
cagliari,y
california,y
call,
campus,y
canada,y
cancer,y
capability,
capacity,
capacity building,
cape town,y
capital,
carbamazepine,y
carbon,y
carbon balance,y
carbon dioxide removal,y
carbon emission,y
carbon footprint,
carbon market,
carbon mitigation,y
carbon neutrality,
carbon offset,y
carbon removal,y
carbon sequestration,y
carbon sequestration potential,y
carbon sink,y
carbon stock,y
carbon storage,y
care,
care farming,
caregiver,
caribbean,y
case,
case study,
case study area,
catalyst,
catania,
catchment,y
catchment scale,
category,
cause,
caution,
cba,
cc by license,
cc by nc nd license,
cca,
cdw,
center,
central,
century,
ces,
challenge,
challenge orientation,
challenges,
change,
channel,
characteristic,
characterization,
chemical,y
chemical oxygen demand,
child,
chile,
china,y
chinese city,y
choice,
choice experiment,
chongqing,y
chromium,y
cinahl,
circular city,
circular economy,
circularity,
citespace,
citizen,
citizen engagement,
citizen participation,
citizen science,
citizen science initiative,
citizens perception,
city,
city resident,
civil engineering,
claim,
clarity,
class,
classification,
classification scheme,
clean water,y
climate,
climate action,
climate adaptation,y
climate adaptation planning,
climate adaptation strategy,
climate benefit,y
climate change,
climate change adaptation,
climate change adaptation strategy,
climate change challenge,
climate change impact,y
climate change mitigation,y
climate change mitigation potential,y
climate change resilience,y
climate change scenario,
climate change solution,y
climate change uncertainty,
climate condition,y
climate crisis,y
climate emergency,y
climate hazard,y
climate justice,y
climate mitigation,y
climate policy,
climate resilience,y
climate resilient city,y
climate resilient development,y
climate risk,
climate smart agriculture,y
climate solution,y
climate variability,y
climatic change,y
climatic condition,y
clinical trial,
clinicaltrials gov,
clinician,
cloud,
cluster,
cm depth,y
cm year,y
co benefit,
co concept,
co creation,
co creation process,
co design,
co production,
co2,y
co2 emission,y
co2 sequestration,y
coast,y
coastal,y
coastal adaptation,y
coastal area,y
coastal city,y
coastal community,y
coastal defence,y
coastal development,y
coastal dune,y
coastal dune restoration,y
coastal ecosystem,y
coastal engineering,
coastal environment,y
coastal erosion,y
coastal erosion protection,y
coastal flood risk,y
coastal flood risk management,y
coastal flooding,y
coastal habitat,y
coastal hazard,y
coastal infrastructure,y
coastal lagoon,y
coastal landform,y
coastal management,
coastal manager,
coastal nature,y
coastal protection,y
coastal protection measure,
coastal region,
coastal resilience,y
coastal restoration,y
coastal risk,y
coastal risk management,y
coastal vegetation,y
coastal water,y
coastal wetland,y
coastal zone,y
coastline,
cochrane library,
cod,
coffee,
cognitive performance,y
collaboration,
collaborative approach,
collaborative arrangement,
collaborative governance,
collaborative governance arrangement,
collaborative planning,
collection,
collective action,
college student,
